sector,sector_code,sector_label,month,issued
"M - All other Professional, Scientific & Technical Activities",M,"All other Professional, Scientific & Technical Activities",April,40
G - Wholesale & Retail Trade,G,Wholesale & Retail Trade,April,35
C - Manufacture of Chemicals & Pharmaceuticals,C,Manufacture of Chemicals & Pharmaceuticals,April,49
"R - Arts, Entertainment and Recreation",R,"Arts, Entertainment and Recreation",April,36
"C - Manufacture of Food, Drink & Tobacco",C,"Manufacture of Food, Drink & Tobacco",April,34
P - Education,P,Education,April,19
"C - Manufacture of Computers, Electronics & Optical Equipment",C,"Manufacture of Computers, Electronics & Optical Equipment",April,18
D - Electricity & Gas & Air Conditioning Supply,D,Electricity & Gas & Air Conditioning Supply,April,17
C - Manufacture of Medical Devices,C,Manufacture of Medical Devices,April,12
No Sector Entered ,,No Sector Entered ,April,0
B - Mining & Quarrying,B,Mining & Quarrying,April,3
N - Administrative & Support Service Activities,N,Administrative & Support Service Activities,April,6
E - Water Supply - Sewerage Waste Management & Remedial Activities,E,Water Supply - Sewerage Waste Management & Remedial Activities,April,7
O - Public Administration & Defence,O,Public Administration & Defence,April,4
L - Real Estate Activities,L,Real Estate Activities,April,2
T - Domestic - Activities of Households as Employers,T,Domestic - Activities of Households as Employers,April,0
Q - Health & Social Work Activities,Q,Health & Social Work Activities,May,372
J - Information & Communication Activities,J,Information & Communication Activities,May,215
I - Accommodation & Food Services Activities,I,Accommodation & Food Services Activities,May,223
S - Other Service Activities,S,Other Service Activities,May,139
F - Construction,F,Construction,May,101
"A - Agriculture, Forestry & Fishing",A,"Agriculture, Forestry & Fishing",May,125
K - Financial & Insurance Activities,K,Financial & Insurance Activities,May,64
H - Transport & Storage,H,Transport & Storage,May,172
C - All Other Manufacturing,C,All Other Manufacturing,May,79
"M - Professional, Scientific & Technical Activities of Head Offices, Management Consultancy Services",M,"Professional, Scientific & Technical Activities of Head Offices, Management Consultancy Services",May,38
"M - All other Professional, Scientific & Technical Activities",M,"All other Professional, Scientific & Technical Activities",May,45
G - Wholesale & Retail Trade,G,Wholesale & Retail Trade,May,36
C - Manufacture of Chemicals & Pharmaceuticals,C,Manufacture of Chemicals & Pharmaceuticals,May,33
"R - Arts, Entertainment and Recreation",R,"Arts, Entertainment and Recreation",May,30
"C - Manufacture of Food, Drink & Tobacco",C,"Manufacture of Food, Drink & Tobacco",May,42
P - Education,P,Education,May,28
"C - Manufacture of Computers, Electronics & Optical Equipment",C,"Manufacture of Computers, Electronics & Optical Equipment",May,23
D - Electricity & Gas & Air Conditioning Supply,D,Electricity & Gas & Air Conditioning Supply,May,29
C - Manufacture of Medical Devices,C,Manufacture of Medical Devices,May,9
No Sector Entered ,,No Sector Entered ,May,0
B - Mining & Quarrying,B,Mining & Quarrying,May,5
N - Administrative & Support Service Activities,N,Administrative & Support Service Activities,May,4
E - Water Supply - Sewerage Waste Management & Remedial Activities,E,Water Supply - Sewerage Waste Management & Remedial Activities,May,3
O - Public Administration & Defence,O,Public Administration & Defence,May,3
L - Real Estate Activities,L,Real Estate Activities,May,1
T - Domestic - Activities of Households as Employers,T,Domestic - Activities of Households as Employers,May,1
Q - Health & Social Work Activities,Q,Health & Social Work Activities,June,650
J - Information & Communication Activities,J,Information & Communication Activities,June,191
I - Accommodation & Food Services Activities,I,Accommodation & Food Services Activities,June,127
S - Other Service Activities,S,Other Service Activities,June,89
F - Construction,F,Construction,June,66
"A - Agriculture, Forestry & Fishing",A,"Agriculture, Forestry & Fishing",June,69
K - Financial & Insurance Activities,K,Financial & Insurance Activities,June,57
H - Transport & Storage,H,Transport & Storage,June,90
C - All Other Manufacturing,C,All Other Manufacturing,June,51
"M - Professional, Scientific & Technical Activities of Head Offices, Management Consultancy Services",M,"Professional, Scientific & Technical Activities of Head Offices, Management Consultancy Services",June,71
"M - All other Professional, Scientific & Technical Activities",M,"All other Professional, Scientific & Technical Activities",June,38
G - Wholesale & Retail Trade,G,Wholesale & Retail Trade,June,23
C - Manufacture of Chemicals & Pharmaceuticals,C,Manufacture of Chemicals & Pharmaceuticals,June,19
"R - Arts, Entertainment and Recreation",R,"Arts, Entertainment and Recreation",June,37
"C - Manufacture of Food, Drink & Tobacco",C,"Manufacture of Food, Drink & Tobacco",June,23
P - Education,P,Education,June,13
"C - Manufacture of Computers, Electronics & Optical Equipment",C,"Manufacture of Computers, Electronics & Optical Equipment",June,35
D - Electricity & Gas & Air Conditioning Supply,D,Electricity & Gas & Air Conditioning Supply,June,19
C - Manufacture of Medical Devices,C,Manufacture of Medical Devices,June,6
No Sector Entered ,,No Sector Entered ,June,0
B - Mining & Quarrying,B,Mining & Quarrying,June,3
N - Administrative & Support Service Activities,N,Administrative & Support Service Activities,June,3
E - Water Supply - Sewerage Waste Management & Remedial Activities,E,Water Supply - Sewerage Waste Management & Remedial Activities,June,1
O - Public Administration & Defence,O,Public Administration & Defence,June,1
L - Real Estate Activities,L,Real Estate Activities,June,2
T - Domestic - Activities of Households as Employers,T,Domestic - Activities of Households as Employers,June,0
Q - Health & Social Work Activities,Q,Health & Social Work Activities,July,649
J - Information & Communication Activities,J,Information & Communication Activities,July,232
I - Accommodation & Food Services Activities,I,Accommodation & Food Services Activities,July,177
S - Other Service Activities,S,Other Service Activities,July,150
F - Construction,F,Construction,July,137
"A - Agriculture, Forestry & Fishing",A,"Agriculture, Forestry & Fishing",July,123
K - Financial & Insurance Activities,K,Financial & Insurance Activities,July,88
H - Transport & Storage,H,Transport & Storage,July,148
C - All Other Manufacturing,C,All Other Manufacturing,July,74
"M - Professional, Scientific & Technical Activities of Head Offices, Management Consultancy Services",M,"Professional, Scientific & Technical Activities of Head Offices, Management Consultancy Services",July,60
"M - All other Professional, Scientific & Technical Activities",M,"All other Professional, Scientific & Technical Activities",July,47
G - Wholesale & Retail Trade,G,Wholesale & Retail Trade,July,40
C - Manufacture of Chemicals & Pharmaceuticals,C,Manufacture of Chemicals & Pharmaceuticals,July,34
"R - Arts, Entertainment and Recreation",R,"Arts, Entertainment and Recreation",July,52
"C - Manufacture of Food, Drink & Tobacco",C,"Manufacture of Food, Drink & Tobacco",July,19
P - Education,P,Education,July,51
"C - Manufacture of Computers, Electronics & Optical Equipment",C,"Manufacture of Computers, Electronics & Optical Equipment",July,31
D - Electricity & Gas & Air Conditioning Supply,D,Electricity & Gas & Air Conditioning Supply,July,24
C - Manufacture of Medical Devices,C,Manufacture of Medical Devices,July,18
No Sector Entered ,,No Sector Entered ,July,0
B - Mining & Quarrying,B,Mining & Quarrying,July,8
N - Administrative & Support Service Activities,N,Administrative & Support Service Activities,July,9
E - Water Supply - Sewerage Waste Management & Remedial Activities,E,Water Supply - Sewerage Waste Management & Remedial Activities,July,5
O - Public Administration & Defence,O,Public Administration & Defence,July,1
L - Real Estate Activities,L,Real Estate Activities,July,3
T - Domestic - Activities of Households as Employers,T,Domestic - Activities of Households as Employers,July,0
Q - Health & Social Work Activities,Q,Health & Social Work Activities,August,651
J - Information & Communication Activities,J,Information & Communication Activities,August,318
I - Accommodation & Food Services Activities,I,Accommodation & Food Services Activities,August,240
S - Other Service Activities,S,Other Service Activities,August,156
F - Construction,F,Construction,August,202
"A - Agriculture, Forestry & Fishing",A,"Agriculture, Forestry & Fishing",August,153
K - Financial & Insurance Activities,K,Financial & Insurance Activities,August,132
H - Transport & Storage,H,Transport & Storage,August,136
C - All Other Manufacturing,C,All Other Manufacturing,August,106
"M - Professional, Scientific & Technical Activities of Head Offices, Management Consultancy Services",M,"Professional, Scientific & Technical Activities of Head Offices, Management Consultancy Services",August,69
"M - All other Professional, Scientific & Technical Activities",M,"All other Professional, Scientific & Technical Activities",August,63
G - Wholesale & Retail Trade,G,Wholesale & Retail Trade,August,51
C - Manufacture of Chemicals & Pharmaceuticals,C,Manufacture of Chemicals & Pharmaceuticals,August,57
"R - Arts, Entertainment and Recreation",R,"Arts, Entertainment and Recreation",August,83
"C - Manufacture of Food, Drink & Tobacco",C,"Manufacture of Food, Drink & Tobacco",August,71
P - Education,P,Education,August,34
"C - Manufacture of Computers, Electronics & Optical Equipment",C,"Manufacture of Computers, Electronics & Optical Equipment",August,29
D - Electricity & Gas & Air Conditioning Supply,D,Electricity & Gas & Air Conditioning Supply,August,32
C - Manufacture of Medical Devices,C,Manufacture of Medical Devices,August,20
No Sector Entered ,,No Sector Entered ,August,20
B - Mining & Quarrying,B,Mining & Quarrying,August,9
N - Administrative & Support Service Activities,N,Administrative & Support Service Activities,August,7
E - Water Supply - Sewerage Waste Management & Remedial Activities,E,Water Supply - Sewerage Waste Management & Remedial Activities,August,13
O - Public Administration & Defence,O,Public Administration & Defence,August,5
L - Real Estate Activities,L,Real Estate Activities,August,3
T - Domestic - Activities of Households as Employers,T,Domestic - Activities of Households as Employers,August,1
Q - Health & Social Work Activities,Q,Health & Social Work Activities,September,622
J - Information & Communication Activities,J,Information & Communication Activities,September,268
I - Accommodation & Food Services Activities,I,Accommodation & Food Services Activities,September,242
S - Other Service Activities,S,Other Service Activities,September,161
F - Construction,F,Construction,September,211
"A - Agriculture, Forestry & Fishing",A,"Agriculture, Forestry & Fishing",September,133
K - Financial & Insurance Activities,K,Financial & Insurance Activities,September,139
H - Transport & Storage,H,Transport & Storage,September,91
C - All Other Manufacturing,C,All Other Manufacturing,September,121
"M - Professional, Scientific & Technical Activities of Head Offices, Management Consultancy Services",M,"Professional, Scientific & Technical Activities of Head Offices, Management Consultancy Services",September,75
"M - All other Professional, Scientific & Technical Activities",M,"All other Professional, Scientific & Technical Activities",September,63
G - Wholesale & Retail Trade,G,Wholesale & Retail Trade,September,67
C - Manufacture of Chemicals & Pharmaceuticals,C,Manufacture of Chemicals & Pharmaceuticals,September,74
"R - Arts, Entertainment and Recreation",R,"Arts, Entertainment and Recreation",September,73
"C - Manufacture of Food, Drink & Tobacco",C,"Manufacture of Food, Drink & Tobacco",September,70
P - Education,P,Education,September,43
"C - Manufacture of Computers, Electronics & Optical Equipment",C,"Manufacture of Computers, Electronics & Optical Equipment",September,30
D - Electricity & Gas & Air Conditioning Supply,D,Electricity & Gas & Air Conditioning Supply,September,25
C - Manufacture of Medical Devices,C,Manufacture of Medical Devices,September,36
No Sector Entered ,,No Sector Entered ,September,24
B - Mining & Quarrying,B,Mining & Quarrying,September,20
N - Administrative & Support Service Activities,N,Administrative & Support Service Activities,September,9
E - Water Supply - Sewerage Waste Management & Remedial Activities,E,Water Supply - Sewerage Waste Management & Remedial Activities,September,16
O - Public Administration & Defence,O,Public Administration & Defence,September,7
L - Real Estate Activities,L,Real Estate Activities,September,5
T - Domestic - Activities of Households as Employers,T,Domestic - Activities of Households as Employers,September,2
Q - Health & Social Work Activities,Q,Health & Social Work Activities,October,622
J - Information & Communication Activities,J,Information & Communication Activities,October,374
I - Accommodation & Food Services Activities,I,Accommodation & Food Services Activities,October,291
S - Other Service Activities,S,Other Service Activities,October,235
F - Construction,F,Construction,October,236
"A - Agriculture, Forestry & Fishing",A,"Agriculture, Forestry & Fishing",October,181
K - Financial & Insurance Activities,K,Financial & Insurance Activities,October,183
H - Transport & Storage,H,Transport & Storage,October,155
C - All Other Manufacturing,C,All Other Manufacturing,October,140
"M - Professional, Scientific & Technical Activities of Head Offices, Management Consultancy Services",M,"Professional, Scientific & Technical Activities of Head Offices, Management Consultancy Services",October,94
"M - All other Professional, Scientific & Technical Activities",M,"All other Professional, Scientific & Technical Activities",October,71
G - Wholesale & Retail Trade,G,Wholesale & Retail Trade,October,56
C - Manufacture of Chemicals & Pharmaceuticals,C,Manufacture of Chemicals & Pharmaceuticals,October,62
"R - Arts, Entertainment and Recreation",R,"Arts, Entertainment and Recreation",October,69
"C - Manufacture of Food, Drink & Tobacco",C,"Manufacture of Food, Drink & Tobacco",October,52
P - Education,P,Education,October,60
"C - Manufacture of Computers, Electronics & Optical Equipment",C,"Manufacture of Computers, Electronics & Optical Equipment",October,37
D - Electricity & Gas & Air Conditioning Supply,D,Electricity & Gas & Air Conditioning Supply,October,25
C - Manufacture of Medical Devices,C,Manufacture of Medical Devices,October,28
No Sector Entered ,,No Sector Entered ,October,51
B - Mining & Quarrying,B,Mining & Quarrying,October,28
N - Administrative & Support Service Activities,N,Administrative & Support Service Activities,October,7
